judul,kategori,date,source
Carissa Perusset Menangis karena Harus Potong Pendek Rambutnya,Film,"07/01/2020, 19:55 WIB",kompas.com
"Jarang Ajak Istri ke Lokasi Syuting, Daus Mini: Mending Istirahat di Rumah",Seleb,"07/01/2020, 19:48 WIB",kompas.com
"Curigai Lebam pada Jenazah Ibunya, Rizky Febian Bawa Bukti Apa ke Polisi?",Seleb,"07/01/2020, 19:18 WIB",kompas.com
Rizky Febian Nyanyikan Lagu Penyesalan untuk Mendiang Ibunya,Seleb,"07/01/2020, 18:57 WIB",kompas.com
"Gagal ke DPR, Giring Stres hingga Bengong di Pinggir Tempat Tidur",Seleb,"07/01/2020, 18:40 WIB",kompas.com
"Didatangi Penguntitnya di Pesawat, Nayeon TWICE Dijaga Polisi",Seleb,"02/01/2020, 18:06 WIB",kompas.com
"Tinjau Korban Banjir di Kawasan Depok, Ayu Ting Ting Bagikan 300 Nasi Kotak",Seleb,"03/01/2020, 22:03 WIB",kompas.com
"Minta Maaf, Medina Zein Banjir Dukungan dari Sejumlah Artis ",Seleb,"03/01/2020, 20:41 WIB",kompas.com
"Sinyorita Esperanza Tolak Tawaran Mengungsi dari Rekan Artis, Kenapa?",Seleb,"03/01/2020, 20:24 WIB",kompas.com
"Dibanjiri Ucapan Terima Kasih karena NKCTHI, Rachel Amanda Berkaca-kaca ",Film,"03/01/2020, 20:14 WIB",kompas.com
"Rumahnya Kebanjiran, Sinyorita Esperanza: Sudah Kayak Waterpark",Seleb,"03/01/2020, 20:02 WIB",kompas.com
Rencana SM Entertainment di 2020: Red Velvet Fokus Promosi di Luar Negeri,Musik,"03/01/2020, 19:35 WIB",kompas.com
YG Entertainment Buka Suara Soal Kontrak BIGBANG,Musik,"03/01/2020, 19:07 WIB",kompas.com
IU Dipasangkan dengan Park Seo Joon untuk Film Dream,Film,"03/01/2020, 18:59 WIB",kompas.com
"Gara-gara Tak Bisa Tidur, Angga Dwimas Sasongko Bikin Posko Banjir",Film,"03/01/2020, 18:48 WIB",kompas.com
"Hotman Paris: Rumah dan Lamborghini Saya Kebanjiran, Hoaks!",Seleb,"03/01/2020, 18:31 WIB",kompas.com
"Makan Shabu Shabu Bareng El dan Dul, Ahmad Dhani Mau Ngutang?",Seleb,"03/01/2020, 18:28 WIB",kompas.com
"Ello Diduga Terkait Investasi Bodong MeMiles, Manajer Angkat Bicara ",Seleb,"03/01/2020, 18:19 WIB",kompas.com
Kata Ardhito Pramono soal Lagu Fine Today untuk NKCTHI Laris Manis,Musik,"03/01/2020, 17:55 WIB",kompas.com
Tangis Rizky Febian di Pusara Baru Ibunya di Ujung Berung,Seleb,"09/01/2020, 22:11 WIB",kompas.com
"Cerita Rizky Febian Dilarang Buka Penutup Wajah Ibunya, Lina Jubaedah",Seleb,"09/01/2020, 21:59 WIB",kompas.com
"Rizky Febian Jelaskan Alasan Pemindahan Makam Ibunda, Lina Jubaedah",Seleb,"09/01/2020, 21:28 WIB",kompas.com
"Podkesmas, Podcast ""Gibah"" ala Imam Darto dan Ananda Omesh",Seleb,"09/01/2020, 20:54 WIB",kompas.com
"Unggah Foto Bareng Puput dan Yosafat, Ahok: Semoga Jadi Berkat dan Terang",Hits,"09/01/2020, 20:51 WIB",kompas.com
"Geram Diledek Warganet, Kim Kardashian Bikin Tur di Kulkasnya",Seleb,"09/01/2020, 20:39 WIB",kompas.com
"Malam-malam, Suami dan Anak Mendiang Lina Jubaedah Sambangi Polrestabes Bandung",Seleb,"09/01/2020, 20:36 WIB",kompas.com
"Main Film Komedi Lagi, Tora Sudiro dan Gary Iskak Berusaha Inovatif",Film,"09/01/2020, 20:03 WIB",kompas.com
